Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2016-02-11,10:30 PM,Calgary Flames,6,San Jose Sharks,5,SO,Calgary Flames,San Jose Sharks,0.5666666666666667,0.5666666666666667
2016-02-11,8:00 PM,Boston Bruins,6,Winnipeg Jets,2,,Boston Bruins,Winnipeg Jets,0.48333333333333334,0.5666666666666667
2016-02-12,9:00 PM,Calgary Flames,1,Arizona Coyotes,4,,Arizona Coyotes,Calgary Flames,0.45,0.5833333333333334
2016-02-12,7:00 PM,Montreal Canadiens,4,Buffalo Sabres,6,,Buffalo Sabres,Montreal Canadiens,0.4166666666666667,0.31666666666666665
2016-02-12,7:00 PM,Pittsburgh Penguins,2,Carolina Hurricanes,1,SO,Pittsburgh Penguins,Carolina Hurricanes,0.6166666666666667,0.55
2016-02-12,7:30 PM,Colorado Avalanche,3,Detroit Red Wings,2,SO,Colorado Avalanche,Detroit Red Wings,0.6,0.6166666666666667
2016-02-12,7:30 PM,St. Louis Blues,5,Florida Panthers,3,,St. Louis Blues,Florida Panthers,0.7333333333333333,0.5833333333333334
2016-02-12,7:00 PM,Los Angeles Kings,5,New York Rangers,4,OT,Los Angeles Kings,New York Rangers,0.55,0.6333333333333333
2016-02-12,7:30 PM,Nashville Predators,3,Tampa Bay Lightning,4,OT,Tampa Bay Lightning,Nashville Predators,0.6166666666666667,0.4666666666666667
2016-02-13,7:00 PM,New York Islanders,3,Carolina Hurricanes,6,,Carolina Hurricanes,New York Islanders,0.6333333333333333,0.6333333333333333
2016-02-13,7:00 PM,Ottawa Senators,2,Columbus Blue Jackets,4,,Columbus Blue Jackets,Ottawa Senators,0.5,0.38333333333333336
2016-02-13,8:30 PM,Anaheim Ducks,3,Chicago Blackhawks,2,OT,Anaheim Ducks,Chicago Blackhawks,0.7,0.6666666666666666
2016-02-13,8:00 PM,Washington Capitals,3,Dallas Stars,4,,Dallas Stars,Washington Capitals,0.6,0.8166666666666667
2016-02-13,10:00 PM,Winnipeg Jets,2,Edmonton Oilers,1,SO,Winnipeg Jets,Edmonton Oilers,0.48333333333333334,0.45
2016-02-13,7:00 PM,Nashville Predators,5,Florida Panthers,0,,Nashville Predators,Florida Panthers,0.7,0.48333333333333334
2016-02-13,2:00 PM,Boston Bruins,4,Minnesota Wild,2,,Boston Bruins,Minnesota Wild,0.43333333333333335,0.5833333333333334
2016-02-13,1:00 PM,New Jersey Devils,2,Philadelphia Flyers,1,OT,New Jersey Devils,Philadelphia Flyers,0.6,0.55
2016-02-13,10:30 PM,Arizona Coyotes,1,San Jose Sharks,4,,San Jose Sharks,Arizona Coyotes,0.55,0.48333333333333334
2016-02-13,7:00 PM,Toronto Maple Leafs,5,Vancouver Canucks,2,,Toronto Maple Leafs,Vancouver Canucks,0.5166666666666667,0.4666666666666667
2016-02-14,12:30 PM,Colorado Avalanche,1,Buffalo Sabres,4,,Buffalo Sabres,Colorado Avalanche,0.4166666666666667,0.6166666666666667
2016-02-14,3:30 PM,Boston Bruins,5,Detroit Red Wings,6,,Detroit Red Wings,Boston Bruins,0.5833333333333334,0.5833333333333334
2016-02-14,12:30 PM,Los Angeles Kings,0,New Jersey Devils,1,,New Jersey Devils,Los Angeles Kings,0.5666666666666667,0.6333333333333333
2016-02-14,7:30 PM,Philadelphia Flyers,1,New York Rangers,3,,New York Rangers,Philadelphia Flyers,0.5333333333333333,0.5833333333333334
2016-02-14,6:00 PM,St. Louis Blues,2,Tampa Bay Lightning,1,,St. Louis Blues,Tampa Bay Lightning,0.65,0.6166666666666667
2016-02-15,9:00 PM,Montreal Canadiens,2,Arizona Coyotes,6,,Arizona Coyotes,Montreal Canadiens,0.48333333333333334,0.2833333333333333
2016-02-15,4:00 PM,Anaheim Ducks,6,Calgary Flames,4,,Anaheim Ducks,Calgary Flames,0.5833333333333334,0.6833333333333333
2016-02-15,8:30 PM,Toronto Maple Leafs,2,Chicago Blackhawks,7,,Chicago Blackhawks,Toronto Maple Leafs,0.7166666666666667,0.4666666666666667
2016-02-15,7:30 PM,Pittsburgh Penguins,1,Florida Panthers,2,SO,Florida Panthers,Pittsburgh Penguins,0.6666666666666666,0.55
2016-02-15,8:00 PM,Dallas Stars,3,Nashville Predators,2,OT,Dallas Stars,Nashville Predators,0.5,0.6
2016-02-15,1:00 PM,Detroit Red Wings,1,New York Islanders,4,,New York Islanders,Detroit Red Wings,0.6,0.5833333333333334
2016-02-15,10:00 PM,Minnesota Wild,5,Vancouver Canucks,2,,Minnesota Wild,Vancouver Canucks,0.5166666666666667,0.4
